<!-- This file is auto-generated. Do not edit it manually! -->

# Koobiq Icons — Full Reference

## Format

| <name>                                   | sizes: <sizes>            | tags: <tags>                                                                                                                                                                                              | react: <import>                                                                        | angular: <import>                                                                                                                              | deprecated-aliases: <old names, if renamed> |
| ---------------------------------------- | ------------------------- | --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | -------------------------------------------------------------------------------------- | ---------------------------------------------------------------------------------------------------------------------------------------------- | ------------------------------------------- |
| 3-columns                                | sizes: 16, 24, 32         | tags: колонки                                                                                                                                                                                             | react: import { Icon3Columns16 } from '@koobiq/react-icons'                            | angular: import { Kbq3Columns16 } from '@koobiq/angular-icons' (selector: kbq3Columns16)                                                       |
| active-directory                         | sizes: 16, 24             | tags: system, user, активный, директория, пользователь, система                                                                                                                                           | react: import { IconActiveDirectory16 } from '@koobiq/react-icons'                     | angular: import { KbqActiveDirectory16 } from '@koobiq/angular-icons' (selector: kbqActiveDirectory16)                                         |
| aix                                      | sizes: 16, 24             | tags: aix, ibm, os, system, ос, система                                                                                                                                                                   | react: import { IconAix16 } from '@koobiq/react-icons'                                 | angular: import { KbqAix16 } from '@koobiq/angular-icons' (selector: kbqAix16)                                                                 |
| align-center                             | sizes: 16, 24             | tags: alignment, middle, выравнивание, середина, центр                                                                                                                                                    | react: import { IconAlignCenter16 } from '@koobiq/react-icons'                         | angular: import { KbqAlignCenter16 } from '@koobiq/angular-icons' (selector: kbqAlignCenter16)                                                 |
| align-left                               | sizes: 16, 24             | tags: alignment, start, влево, выравнивание, начало                                                                                                                                                       | react: import { IconAlignLeft16 } from '@koobiq/react-icons'                           | angular: import { KbqAlignLeft16 } from '@koobiq/angular-icons' (selector: kbqAlignLeft16)                                                     |
| align-right                              | sizes: 16, 24             | tags: alignment, end, вправо, выравнивание, конец                                                                                                                                                         | react: import { IconAlignRight16 } from '@koobiq/react-icons'                          | angular: import { KbqAlignRight16 } from '@koobiq/angular-icons' (selector: kbqAlignRight16)                                                   |
| android                                  | sizes: 16, 24             | tags: mobile, phone, андроид, мобильный, телефон                                                                                                                                                          | react: import { IconAndroid16 } from '@koobiq/react-icons'                             | angular: import { KbqAndroid16 } from '@koobiq/angular-icons' (selector: kbqAndroid16)                                                         |
| anomaly                                  | sizes: 16, 24             | tags: alert, anomaly, error, warning, аномалия, ошибка, предупреждение                                                                                                                                    | react: import { IconAnomaly16 } from '@koobiq/react-icons'                             | angular: import { KbqAnomaly16 } from '@koobiq/angular-icons' (selector: kbqAnomaly16)                                                         |
| api                                      | sizes: 16, 24             | tags: api, code, integration, interface, интеграция, интерфейс, код                                                                                                                                       | react: import { IconApi16 } from '@koobiq/react-icons'                                 | angular: import { KbqApi16 } from '@koobiq/angular-icons' (selector: kbqApi16)                                                                 |
| apple                                    | sizes: 16, 24             | tags: fruit, logo, логотип, фрукт, яблоко                                                                                                                                                                 | react: import { IconApple16 } from '@koobiq/react-icons'                               | angular: import { KbqApple16 } from '@koobiq/angular-icons' (selector: kbqApple16)                                                             |
| arrow-down                               | sizes: 16, 24             | tags: down, large, большая, вниз, стрелка                                                                                                                                                                 | react: import { IconArrowDown16 } from '@koobiq/react-icons'                           | angular: import { KbqArrowDown16 } from '@koobiq/angular-icons' (selector: kbqArrowDown16)                                                     |
| arrow-down-left                          | sizes: 16, 24             | tags: trend, вверх, влево, вниз, подъем, рост, стрелка, тренд                                                                                                                                             | react: import { IconArrowDownLeft16 } from '@koobiq/react-icons'                       | angular: import { KbqArrowDownLeft16 } from '@koobiq/angular-icons' (selector: kbqArrowDownLeft16)                                             |
| arrow-down-on-rectangles                 | sizes: 16, 24             | tags: distinct, unique, уникальный                                                                                                                                                                        | react: import { IconArrowDownOnRectangles16 } from '@koobiq/react-icons'               | angular: import { KbqArrowDownOnRectangles16 } from '@koobiq/angular-icons' (selector: kbqArrowDownOnRectangles16)                             |
| arrow-down-right                         | sizes: 16, 24             | tags: trend, вниз, вправо, падение, снижение, спад, стрелка, тренд                                                                                                                                        | react: import { IconArrowDownRight16 } from '@koobiq/react-icons'                      | angular: import { KbqArrowDownRight16 } from '@koobiq/angular-icons' (selector: kbqArrowDownRight16)                                           |
| arrow-down-s                             | sizes: 16, 24             | tags: angle, small, вниз, маленькая, маленький, стрелка, шеврон                                                                                                                                           | react: import { IconArrowDownS16 } from '@koobiq/react-icons'                          | angular: import { KbqArrowDownS16 } from '@koobiq/angular-icons' (selector: kbqArrowDownS16)                                                   |
| arrow-down-to-bracket                    | sizes: 16, 24             | tags: download, вниз, загрузить, скачать, скобка, стрелка                                                                                                                                                 | react: import { IconArrowDownToBracket16 } from '@koobiq/react-icons'                  | angular: import { KbqArrowDownToBracket16 } from '@koobiq/angular-icons' (selector: kbqArrowDownToBracket16)                                   |
| arrow-down-to-line                       | sizes: 16, 24             | tags: вниз, линия, стрелка                                                                                                                                                                                | react: import { IconArrowDownToLine16 } from '@koobiq/react-icons'                     | angular: import { KbqArrowDownToLine16 } from '@koobiq/angular-icons' (selector: kbqArrowDownToLine16)                                         |
| arrow-down-xs                            | sizes: 16, 24             | tags: down, extra small, sort, вниз, очень маленькая, стрелка                                                                                                                                             | react: import { IconArrowDownXs16 } from '@koobiq/react-icons'                         | angular: import { KbqArrowDownXs16 } from '@koobiq/angular-icons' (selector: kbqArrowDownXs16)                                                 |
| arrow-left                               | sizes: 16, 24             | tags: back, large, previous, влево, назад, стрелка                                                                                                                                                        | react: import { IconArrowLeft16 } from '@koobiq/react-icons'                           | angular: import { KbqArrowLeft16 } from '@koobiq/angular-icons' (selector: kbqArrowLeft16)                                                     |
| arrow-left-s                             | sizes: 16, 24             | tags: angle, small, влево, маленькая, маленький, стрелка, шеврон                                                                                                                                          | react: import { IconArrowLeftS16 } from '@koobiq/react-icons'                          | angular: import { KbqArrowLeftS16 } from '@koobiq/angular-icons' (selector: kbqArrowLeftS16)                                                   |
